repo,pr,strategy,review,commits,review_comments,time
fastapi/fastapi,15246,baseline,"ERROR: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}","[{'sha': '0d5ecfae6747bcf2b13ffe1a440eaf860b7930b6', 'message': 'Fix mounting sub-applications under APIRouter (#10180)\n\nSub-apps mounted on an APIRouter were silently dropped when the router\nwas included into a FastAPI app via include_router(), causing 404s for\nany path under the mount (e.g. GET /api/subapi/sub).\n\nTwo changes:\n\n1. APIRouter.mount() override — prepends self.prefix to the path before\n   delegating to Router.mount(), matching the behaviour of add_api_route\n   which already does `self.prefix + path`. This ensures the stored\n   route.path is consistent whether the mount is registered on the router\n   or on the app directly.\n\n2. include_router() Mount branch — a new `elif isinstance(route, routing.Mount)`\n   case forwards mounted sub-applications with `prefix + route.path`,\n   exactly as is done for every other route type (Route, APIRoute,\n   WebSocketRoute).\n\nBoth prefixes compose correctly: router-level prefix and include_router\nprefix stack in the same way as for ordinary endpoints.\n\nFixes #10180'}]","['<!-- __CODSPEED_PERFORMANCE_REPORT_COMMENT__ -->\n## Merging this PR will **not alter performance**\n\n\n\n\n`✅ 20` untouched benchmarks  \n\n\n\n---\n\n<sub>Comparing <code>saitarrun:fix/mount-subapps-apirouter-10180</code> (0d5ecfa) with <code>master</code> (3b9d848)[^unexpected-base]</sub>\n\n<a href=""https://codspeed.io/fastapi/fastapi/branches/saitarrun%3Afix%2Fmount-subapps-apirouter-10180?utm_source=github&utm_medium=comment-v2&utm_content=button"">\n  <picture>\n    <source media=""(prefers-color-scheme: dark)"" srcset=""https://codspeed.io/pr-report/open-in-codspeed-dark.svg"">\n    <source media=""(prefers-color-scheme: light)"" srcset=""https://codspeed.io/pr-report/open-in-codspeed-light.svg"">\n    <img alt=""Open in CodSpeed"" src=""https://codspeed.io/pr-report/open-in-codspeed-light.svg"" width=""169"" height=""32"">\n  </picture>\n</a>\n\n[^unexpected-base]: No successful run was found on <code>master</code> (d128a70) during the generation of this report, so 3b9d848 was used instead as the comparison base. There might be some changes unrelated to this pull request in this report.\n', 'Duplicate of https://github.com/fastapi/fastapi/pull/15233\r\n\r\nBut I think we should go with https://github.com/fastapi/fastapi/pull/13944']",2026-03-28 23:11:33
fastapi/fastapi,15246,with_readme,"ERROR: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}","[{'sha': '0d5ecfae6747bcf2b13ffe1a440eaf860b7930b6', 'message': 'Fix mounting sub-applications under APIRouter (#10180)\n\nSub-apps mounted on an APIRouter were silently dropped when the router\nwas included into a FastAPI app via include_router(), causing 404s for\nany path under the mount (e.g. GET /api/subapi/sub).\n\nTwo changes:\n\n1. APIRouter.mount() override — prepends self.prefix to the path before\n   delegating to Router.mount(), matching the behaviour of add_api_route\n   which already does `self.prefix + path`. This ensures the stored\n   route.path is consistent whether the mount is registered on the router\n   or on the app directly.\n\n2. include_router() Mount branch — a new `elif isinstance(route, routing.Mount)`\n   case forwards mounted sub-applications with `prefix + route.path`,\n   exactly as is done for every other route type (Route, APIRoute,\n   WebSocketRoute).\n\nBoth prefixes compose correctly: router-level prefix and include_router\nprefix stack in the same way as for ordinary endpoints.\n\nFixes #10180'}]","['<!-- __CODSPEED_PERFORMANCE_REPORT_COMMENT__ -->\n## Merging this PR will **not alter performance**\n\n\n\n\n`✅ 20` untouched benchmarks  \n\n\n\n---\n\n<sub>Comparing <code>saitarrun:fix/mount-subapps-apirouter-10180</code> (0d5ecfa) with <code>master</code> (3b9d848)[^unexpected-base]</sub>\n\n<a href=""https://codspeed.io/fastapi/fastapi/branches/saitarrun%3Afix%2Fmount-subapps-apirouter-10180?utm_source=github&utm_medium=comment-v2&utm_content=button"">\n  <picture>\n    <source media=""(prefers-color-scheme: dark)"" srcset=""https://codspeed.io/pr-report/open-in-codspeed-dark.svg"">\n    <source media=""(prefers-color-scheme: light)"" srcset=""https://codspeed.io/pr-report/open-in-codspeed-light.svg"">\n    <img alt=""Open in CodSpeed"" src=""https://codspeed.io/pr-report/open-in-codspeed-light.svg"" width=""169"" height=""32"">\n  </picture>\n</a>\n\n[^unexpected-base]: No successful run was found on <code>master</code> (d128a70) during the generation of this report, so 3b9d848 was used instead as the comparison base. There might be some changes unrelated to this pull request in this report.\n', 'Duplicate of https://github.com/fastapi/fastapi/pull/15233\r\n\r\nBut I think we should go with https://github.com/fastapi/fastapi/pull/13944']",2026-03-28 23:11:35
fastapi/fastapi,15245,baseline,"ERROR: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}","[{'sha': 'f6f4c7d0dae134e5d1cf147ba64f9222d7a789ae', 'message': ""fix: include method in operation_id to prevent duplicates with multi-method routes\n\nWhen a route is defined with multiple HTTP methods (e.g., methods=['POST', 'DELETE']),\nthe operation_id generation was only using the first method name, causing all\nmethods to get the same operation_id suffix. This resulted in duplicate operation IDs\nin the OpenAPI schema and incorrect warnings.\n\nChanges:\n- Modified generate_unique_id() to accept an optional 'method' parameter\n- When a specific method is provided, it includes that method in the operation_id\n- Updated get_openapi_operation_metadata() in openapi/utils.py to pass the method\n- Each HTTP method now gets its own unique operation_id\n\nFixes #13175""}, {'sha': '97acb87acfb8e183e74874e8aec4f21f109bd776', 'message': 'test: add test for duplicate operation ID fix with multi-method routes'}, {'sha': 'a93a92f187a8c985e71870f06624c4d2c01e12c5', 'message': '🎨 Auto format'}]","['<!-- __CODSPEED_PERFORMANCE_REPORT_COMMENT__ -->\n## Merging this PR will **not alter performance**\n\n\n\n\n`✅ 20` untouched benchmarks  \n\n\n\n---\n\n<sub>Comparing <code>mokshagnachintha:fix/duplicate-operation-id</code> (a93a92f) with <code>master</code> (3b9d848)[^unexpected-base]</sub>\n\n<a href=""https://codspeed.io/fastapi/fastapi/branches/mokshagnachintha%3Afix%2Fduplicate-operation-id?utm_source=github&utm_medium=comment-v2&utm_content=button"">\n  <picture>\n    <source media=""(prefers-color-scheme: dark)"" srcset=""https://codspeed.io/pr-report/open-in-codspeed-dark.svg"">\n    <source media=""(prefers-color-scheme: light)"" srcset=""https://codspeed.io/pr-report/open-in-codspeed-light.svg"">\n    <img alt=""Open in CodSpeed"" src=""https://codspeed.io/pr-report/open-in-codspeed-light.svg"" width=""169"" height=""32"">\n  </picture>\n</a>\n\n[^unexpected-base]: No successful run was found on <code>master</code> (d128a70) during the generation of this report, so 3b9d848 was used instead as the comparison base. There might be some changes unrelated to this pull request in this report.\n', 'This was marked as potentially AI generated and will be closed now. If this is an error, please provide additional details, make sure to read the docs about contributing and AI.']",2026-03-28 23:11:41
fastapi/fastapi,15245,with_readme,"ERROR: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}","[{'sha': 'f6f4c7d0dae134e5d1cf147ba64f9222d7a789ae', 'message': ""fix: include method in operation_id to prevent duplicates with multi-method routes\n\nWhen a route is defined with multiple HTTP methods (e.g., methods=['POST', 'DELETE']),\nthe operation_id generation was only using the first method name, causing all\nmethods to get the same operation_id suffix. This resulted in duplicate operation IDs\nin the OpenAPI schema and incorrect warnings.\n\nChanges:\n- Modified generate_unique_id() to accept an optional 'method' parameter\n- When a specific method is provided, it includes that method in the operation_id\n- Updated get_openapi_operation_metadata() in openapi/utils.py to pass the method\n- Each HTTP method now gets its own unique operation_id\n\nFixes #13175""}, {'sha': '97acb87acfb8e183e74874e8aec4f21f109bd776', 'message': 'test: add test for duplicate operation ID fix with multi-method routes'}, {'sha': 'a93a92f187a8c985e71870f06624c4d2c01e12c5', 'message': '🎨 Auto format'}]","['<!-- __CODSPEED_PERFORMANCE_REPORT_COMMENT__ -->\n## Merging this PR will **not alter performance**\n\n\n\n\n`✅ 20` untouched benchmarks  \n\n\n\n---\n\n<sub>Comparing <code>mokshagnachintha:fix/duplicate-operation-id</code> (a93a92f) with <code>master</code> (3b9d848)[^unexpected-base]</sub>\n\n<a href=""https://codspeed.io/fastapi/fastapi/branches/mokshagnachintha%3Afix%2Fduplicate-operation-id?utm_source=github&utm_medium=comment-v2&utm_content=button"">\n  <picture>\n    <source media=""(prefers-color-scheme: dark)"" srcset=""https://codspeed.io/pr-report/open-in-codspeed-dark.svg"">\n    <source media=""(prefers-color-scheme: light)"" srcset=""https://codspeed.io/pr-report/open-in-codspeed-light.svg"">\n    <img alt=""Open in CodSpeed"" src=""https://codspeed.io/pr-report/open-in-codspeed-light.svg"" width=""169"" height=""32"">\n  </picture>\n</a>\n\n[^unexpected-base]: No successful run was found on <code>master</code> (d128a70) during the generation of this report, so 3b9d848 was used instead as the comparison base. There might be some changes unrelated to this pull request in this report.\n', 'This was marked as potentially AI generated and will be closed now. If this is an error, please provide additional details, make sure to read the docs about contributing and AI.']",2026-03-28 23:11:43
fastapi/fastapi,15244,baseline,"ERROR: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}","[{'sha': '158d52945a256d66369a98a0d667121905290bf5', 'message': 'Fix form model losing model_fields_set for unsubmitted fields\n\nWhen a Pydantic BaseModel is used as a Form parameter, fields absent from\nthe form submission were being pre-filled with their default values before\nthe model was constructed. This caused Pydantic to treat those defaults as\nexplicitly-set values, so model_fields_set incorrectly included fields the\nclient never sent.\n\nThe fix skips absent fields in _extract_form_body entirely, letting Pydantic\napply defaults through its own mechanism (which correctly leaves them out of\nmodel_fields_set), matching the behaviour of JSON body endpoints.\n\nFixes #13399'}]","[""doesn't actually solve the problem - blank input fields in actual html forms are present as blank strings and still dodge the pydantic defaults.\n\nthe correct solution is already in https://github.com/fastapi/fastapi/pull/13464 , see the now more than a years worth of discussion in that PR, the quoted issue, and the initial discussion https://github.com/fastapi/fastapi/discussions/13380 that also has documentation and more robust tests. "", '<!-- __CODSPEED_PERFORMANCE_REPORT_COMMENT__ -->\n## Merging this PR will **not alter performance**\n\n\n\n\n`✅ 20` untouched benchmarks  \n\n\n\n---\n\n<sub>Comparing <code>saitarrun:fix/form-model-fields-set-13399</code> (158d529) with <code>master</code> (3b9d848)[^unexpected-base]</sub>\n\n<a href=""https://codspeed.io/fastapi/fastapi/branches/saitarrun%3Afix%2Fform-model-fields-set-13399?utm_source=github&utm_medium=comment-v2&utm_content=button"">\n  <picture>\n    <source media=""(prefers-color-scheme: dark)"" srcset=""https://codspeed.io/pr-report/open-in-codspeed-dark.svg"">\n    <source media=""(prefers-color-scheme: light)"" srcset=""https://codspeed.io/pr-report/open-in-codspeed-light.svg"">\n    <img alt=""Open in CodSpeed"" src=""https://codspeed.io/pr-report/open-in-codspeed-light.svg"" width=""169"" height=""32"">\n  </picture>\n</a>\n\n[^unexpected-base]: No successful run was found on <code>master</code> (d128a70) during the generation of this report, so 3b9d848 was used instead as the comparison base. There might be some changes unrelated to this pull request in this report.\n', ""All CI checks are green. The `check-labels` failure requires a maintainer to add the `bug` label — external contributors don't have label permissions on the upstream repo. Could a maintainer please add it? Thanks\\!"", 'Thanks, for your interest!\r\n\r\nI think this problem is a bit more complex than it seems to be. I think we should start from creating a set of tests that cover all use cases around parameters with default values.\r\nI started working on such set of tests, you can review this draft PR https://github.com/fastapi/fastapi/pull/14829\r\n']",2026-03-28 23:11:48
fastapi/fastapi,15244,with_readme,"ERROR: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}","[{'sha': '158d52945a256d66369a98a0d667121905290bf5', 'message': 'Fix form model losing model_fields_set for unsubmitted fields\n\nWhen a Pydantic BaseModel is used as a Form parameter, fields absent from\nthe form submission were being pre-filled with their default values before\nthe model was constructed. This caused Pydantic to treat those defaults as\nexplicitly-set values, so model_fields_set incorrectly included fields the\nclient never sent.\n\nThe fix skips absent fields in _extract_form_body entirely, letting Pydantic\napply defaults through its own mechanism (which correctly leaves them out of\nmodel_fields_set), matching the behaviour of JSON body endpoints.\n\nFixes #13399'}]","[""doesn't actually solve the problem - blank input fields in actual html forms are present as blank strings and still dodge the pydantic defaults.\n\nthe correct solution is already in https://github.com/fastapi/fastapi/pull/13464 , see the now more than a years worth of discussion in that PR, the quoted issue, and the initial discussion https://github.com/fastapi/fastapi/discussions/13380 that also has documentation and more robust tests. "", '<!-- __CODSPEED_PERFORMANCE_REPORT_COMMENT__ -->\n## Merging this PR will **not alter performance**\n\n\n\n\n`✅ 20` untouched benchmarks  \n\n\n\n---\n\n<sub>Comparing <code>saitarrun:fix/form-model-fields-set-13399</code> (158d529) with <code>master</code> (3b9d848)[^unexpected-base]</sub>\n\n<a href=""https://codspeed.io/fastapi/fastapi/branches/saitarrun%3Afix%2Fform-model-fields-set-13399?utm_source=github&utm_medium=comment-v2&utm_content=button"">\n  <picture>\n    <source media=""(prefers-color-scheme: dark)"" srcset=""https://codspeed.io/pr-report/open-in-codspeed-dark.svg"">\n    <source media=""(prefers-color-scheme: light)"" srcset=""https://codspeed.io/pr-report/open-in-codspeed-light.svg"">\n    <img alt=""Open in CodSpeed"" src=""https://codspeed.io/pr-report/open-in-codspeed-light.svg"" width=""169"" height=""32"">\n  </picture>\n</a>\n\n[^unexpected-base]: No successful run was found on <code>master</code> (d128a70) during the generation of this report, so 3b9d848 was used instead as the comparison base. There might be some changes unrelated to this pull request in this report.\n', ""All CI checks are green. The `check-labels` failure requires a maintainer to add the `bug` label — external contributors don't have label permissions on the upstream repo. Could a maintainer please add it? Thanks\\!"", 'Thanks, for your interest!\r\n\r\nI think this problem is a bit more complex than it seems to be. I think we should start from creating a set of tests that cover all use cases around parameters with default values.\r\nI started working on such set of tests, you can review this draft PR https://github.com/fastapi/fastapi/pull/14829\r\n']",2026-03-28 23:11:50
fastapi/fastapi,15243,baseline,"ERROR: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}","[{'sha': 'a74243c907836de028f17e125f01f3bfd35b0a81', 'message': '✨ Add support for generating a UUID on application startup'}, {'sha': 'c92228c36f8b422d5c73214127e552ff2c553438', 'message': '🎨 Auto format'}]","['<!-- __CODSPEED_PERFORMANCE_REPORT_COMMENT__ -->\n## Merging this PR will **not alter performance**\n\n\n\n\n`✅ 20` untouched benchmarks  \n\n\n\n---\n\n<sub>Comparing <code>fadyNabil16:master</code> (c92228c) with <code>master</code> (3b9d848)[^unexpected-base]</sub>\n\n<a href=""https://codspeed.io/fastapi/fastapi/branches/fadyNabil16%3Amaster?utm_source=github&utm_medium=comment-v2&utm_content=button"">\n  <picture>\n    <source media=""(prefers-color-scheme: dark)"" srcset=""https://codspeed.io/pr-report/open-in-codspeed-dark.svg"">\n    <source media=""(prefers-color-scheme: light)"" srcset=""https://codspeed.io/pr-report/open-in-codspeed-light.svg"">\n    <img alt=""Open in CodSpeed"" src=""https://codspeed.io/pr-report/open-in-codspeed-light.svg"" width=""169"" height=""32"">\n  </picture>\n</a>\n\n[^unexpected-base]: No successful run was found on <code>master</code> (d128a70) during the generation of this report, so 3b9d848 was used instead as the comparison base. There might be some changes unrelated to this pull request in this report.\n']",2026-03-28 23:11:55
fastapi/fastapi,15243,with_readme,"ERROR: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}","[{'sha': 'a74243c907836de028f17e125f01f3bfd35b0a81', 'message': '✨ Add support for generating a UUID on application startup'}, {'sha': 'c92228c36f8b422d5c73214127e552ff2c553438', 'message': '🎨 Auto format'}]","['<!-- __CODSPEED_PERFORMANCE_REPORT_COMMENT__ -->\n## Merging this PR will **not alter performance**\n\n\n\n\n`✅ 20` untouched benchmarks  \n\n\n\n---\n\n<sub>Comparing <code>fadyNabil16:master</code> (c92228c) with <code>master</code> (3b9d848)[^unexpected-base]</sub>\n\n<a href=""https://codspeed.io/fastapi/fastapi/branches/fadyNabil16%3Amaster?utm_source=github&utm_medium=comment-v2&utm_content=button"">\n  <picture>\n    <source media=""(prefers-color-scheme: dark)"" srcset=""https://codspeed.io/pr-report/open-in-codspeed-dark.svg"">\n    <source media=""(prefers-color-scheme: light)"" srcset=""https://codspeed.io/pr-report/open-in-codspeed-light.svg"">\n    <img alt=""Open in CodSpeed"" src=""https://codspeed.io/pr-report/open-in-codspeed-light.svg"" width=""169"" height=""32"">\n  </picture>\n</a>\n\n[^unexpected-base]: No successful run was found on <code>master</code> (d128a70) during the generation of this report, so 3b9d848 was used instead as the comparison base. There might be some changes unrelated to this pull request in this report.\n']",2026-03-28 23:11:57
fastapi/fastapi,15235,baseline,"ERROR: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}","[{'sha': '8c8bd3d5141b92858e188a7167036339a60c497b', 'message': 'update tests: mount before include_router'}, {'sha': '9bd49b3ec6e8c54440232e8e7395e52294773a48', 'message': 'research: propagate Mount with router.prefix in include_router'}, {'sha': 'fc21d83c5c9a269640137637e0d178f5a7896b6a', 'message': '🎨 Auto format'}]","['<!-- __CODSPEED_PERFORMANCE_REPORT_COMMENT__ -->\n## Merging this PR will **not alter performance**\n\n\n\n\n`✅ 20` untouched benchmarks  \n\n\n\n---\n\n<sub>Comparing <code>garagon:fix/mount-subapp-under-router</code> (fc21d83) with <code>master</code> (3b9d848)[^unexpected-base]</sub>\n\n<a href=""https://codspeed.io/fastapi/fastapi/branches/garagon%3Afix%2Fmount-subapp-under-router?utm_source=github&utm_medium=comment-v2&utm_content=button"">\n  <picture>\n    <source media=""(prefers-color-scheme: dark)"" srcset=""https://codspeed.io/pr-report/open-in-codspeed-dark.svg"">\n    <source media=""(prefers-color-scheme: light)"" srcset=""https://codspeed.io/pr-report/open-in-codspeed-light.svg"">\n    <img alt=""Open in CodSpeed"" src=""https://codspeed.io/pr-report/open-in-codspeed-light.svg"" width=""169"" height=""32"">\n  </picture>\n</a>\n\n[^unexpected-base]: No successful run was found on <code>master</code> (d128a70) during the generation of this report, so 3b9d848 was used instead as the comparison base. There might be some changes unrelated to this pull request in this report.\n', '@garagon, thanks for your interest!\r\n\r\nPlease, review existing PRs linked to the issue (including closed PRs, to understand the reasons they were closed) before opening your PRs. And provide an explanation why you think your approach is better.\r\n\r\nSee https://github.com/fastapi/fastapi/pull/13944', '@YuriiMotov thanks for the pointer. I reviewed all related PRs:\n\n- #13944 (yours, open): supports StaticFiles only, raises `FastAPIError` for other ASGI apps\n- #14032 (sujin502, closed): generic Mount support, closed for inactivity\n- #14924, #14926 (kimchikingdom, closed): generic Mount, you redirected to #13944\n- #14793 (jonathan-fulton, open): generic Mount support\n- #14984 (fcarvajalbrown, closed), #15014 (Anandesh-Sharma, closed): same approach as ours\n\nI understand your position: sub-apps should be mounted to the root app, and only StaticFiles makes sense on a sub-router.\n\nLooking at the issue comments, there are real use cases beyond StaticFiles that users are requesting:\n\n- Mounting v1/v2 API versions under a shared prefix router\n- Serving Dash dashboards alongside API routes on the same router\n- Adding authentication dependencies to third-party ASGI apps via router\n- Modular app composition where teams own routers with their own sub-apps\n\nThe current behavior silently drops Mount routes with no error and no warning. Your PR (#13944) solves this for StaticFiles and raises a clear error for everything else, which is better than silent failure.\n\nOur approach propagates all Mount routes with the correct prefix. The technical difference is one line: `self.mount(prefix + router.prefix + route.path, app=route.app, name=route.name)`. The reason `router.prefix` is needed is that `APIRoute.path` has the prefix baked in at creation time, but `Mount.path` does not.\n\nBoth approaches are valid. If Sebastian decides StaticFiles-only is the right scope, #13944 is the right PR. If full Mount support is desired, the approach in this PR (and #14793) handles it.\n\nHappy to close this if #13944 is the direction the project wants to take.']",2026-03-28 23:12:02
fastapi/fastapi,15235,with_readme,"ERROR: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}","[{'sha': '8c8bd3d5141b92858e188a7167036339a60c497b', 'message': 'update tests: mount before include_router'}, {'sha': '9bd49b3ec6e8c54440232e8e7395e52294773a48', 'message': 'research: propagate Mount with router.prefix in include_router'}, {'sha': 'fc21d83c5c9a269640137637e0d178f5a7896b6a', 'message': '🎨 Auto format'}]","['<!-- __CODSPEED_PERFORMANCE_REPORT_COMMENT__ -->\n## Merging this PR will **not alter performance**\n\n\n\n\n`✅ 20` untouched benchmarks  \n\n\n\n---\n\n<sub>Comparing <code>garagon:fix/mount-subapp-under-router</code> (fc21d83) with <code>master</code> (3b9d848)[^unexpected-base]</sub>\n\n<a href=""https://codspeed.io/fastapi/fastapi/branches/garagon%3Afix%2Fmount-subapp-under-router?utm_source=github&utm_medium=comment-v2&utm_content=button"">\n  <picture>\n    <source media=""(prefers-color-scheme: dark)"" srcset=""https://codspeed.io/pr-report/open-in-codspeed-dark.svg"">\n    <source media=""(prefers-color-scheme: light)"" srcset=""https://codspeed.io/pr-report/open-in-codspeed-light.svg"">\n    <img alt=""Open in CodSpeed"" src=""https://codspeed.io/pr-report/open-in-codspeed-light.svg"" width=""169"" height=""32"">\n  </picture>\n</a>\n\n[^unexpected-base]: No successful run was found on <code>master</code> (d128a70) during the generation of this report, so 3b9d848 was used instead as the comparison base. There might be some changes unrelated to this pull request in this report.\n', '@garagon, thanks for your interest!\r\n\r\nPlease, review existing PRs linked to the issue (including closed PRs, to understand the reasons they were closed) before opening your PRs. And provide an explanation why you think your approach is better.\r\n\r\nSee https://github.com/fastapi/fastapi/pull/13944', '@YuriiMotov thanks for the pointer. I reviewed all related PRs:\n\n- #13944 (yours, open): supports StaticFiles only, raises `FastAPIError` for other ASGI apps\n- #14032 (sujin502, closed): generic Mount support, closed for inactivity\n- #14924, #14926 (kimchikingdom, closed): generic Mount, you redirected to #13944\n- #14793 (jonathan-fulton, open): generic Mount support\n- #14984 (fcarvajalbrown, closed), #15014 (Anandesh-Sharma, closed): same approach as ours\n\nI understand your position: sub-apps should be mounted to the root app, and only StaticFiles makes sense on a sub-router.\n\nLooking at the issue comments, there are real use cases beyond StaticFiles that users are requesting:\n\n- Mounting v1/v2 API versions under a shared prefix router\n- Serving Dash dashboards alongside API routes on the same router\n- Adding authentication dependencies to third-party ASGI apps via router\n- Modular app composition where teams own routers with their own sub-apps\n\nThe current behavior silently drops Mount routes with no error and no warning. Your PR (#13944) solves this for StaticFiles and raises a clear error for everything else, which is better than silent failure.\n\nOur approach propagates all Mount routes with the correct prefix. The technical difference is one line: `self.mount(prefix + router.prefix + route.path, app=route.app, name=route.name)`. The reason `router.prefix` is needed is that `APIRoute.path` has the prefix baked in at creation time, but `Mount.path` does not.\n\nBoth approaches are valid. If Sebastian decides StaticFiles-only is the right scope, #13944 is the right PR. If full Mount support is desired, the approach in this PR (and #14793) handles it.\n\nHappy to close this if #13944 is the direction the project wants to take.']",2026-03-28 23:12:04
